customer_id,net_revenue,cumulative_share
12821,3898614.5395,0.0010927976185664183
127,3417707.2854999998,0.002050794964728908
19839,3195586.539,0.0029465309561588207
8553,3171233.3425,0.0038354406468939497
12613,3156028.3915,0.004720088327606064
1621,3112981.998,0.005592669927963719
3356,2934730.9014999997,0.006415287016111085
10570,2930811.519,0.0072368054852955215
13321,2902655.92,0.008050431824795229
12415,2692224.5265,0.008805073383071113
9003,2655768.7655,0.009549496242268087
13958,2601002.7815,0.010278567971906781
12351,2440100.4445,0.010962538117658724
2839,2301860.658,0.011607759085222432
18358,2275308.353,0.012245537332974406
12428,2193639.383,0.012860423434036181
6039,2173917.95,0.0134697815366773
10512,2164636.499,0.014076538010599578
19108,2156335.213,0.014680967600065872
8516,2154538.2600000002,0.015284893496248519
7487,2100687.6515,0.015873724846373605
19625,2097011.813,0.01646152584391617
4178,2092561.8,0.017048079484593952
14744,2091302.788,0.017634280219053024
7542,2071408.5999999999,0.018214904531157577
1118,2069935.644,0.018795115967664214
6510,2053153.3935,0.019370623270639622
10972,2052904.7055,0.019946060865350362
7346,1973494.0990000002,0.020499239341906977
13647,1958510.255,0.021048217785638017
7791,1948607.913,0.021594420562360637
5648,1947731.7625,0.02214037775051065
17087,1939204.9965000001,0.022683944851237432
10636,1938389.5040000002,0.023227283366077375
12371,1915962.6475,0.023764335541212066
15790,1910320.494,0.024299806197618522
11029,1905625.422,0.024833960806119087
19097,1900989.1369999999,0.025366815844950562
4331,1879861.072,0.025893748600652227
13839,1879543.724,0.02642059240241009
17493,1869579.431,0.02694464317204057
8771,1816790.8645,0.027453897090334696
8780,1816391.6985,0.027963039120764612
13658,1815718.5015,0.028471992451318973
5838,1785340.655,0.02897243074711521
5684,1772064.924,0.029469147801153756
6493,1750687.305,0.029959872621054477
6410,1747837.0825,0.03044979851191801
16432,1733981.988,0.030935840763062567
9537,1723354.7395,0.03141890415293857
15716,1717538.735,0.031900337292939195
16222,1695684.5335,0.03237564461077585
16512,1662281.0655,0.032841588799759305
14077,1654335.7815,0.033305305893105056
19661,1643325.3795,0.03376593672568736
13076,1642427.9465,0.03422631600412516
12650,1640205.456,0.034686072309375676
15969,1637991.158,0.03514520793783019
2223,1593008.9645,0.03559173487326398
6915,1590505.264,0.03603756001119605
10633,1578709.1049999997,0.036480078637460236
10676,1578579.517,0.03692256093967742
6044,1577484.678,0.03736473635404
4287,1574112.432,0.0378059665140409
14071,1561561.936,0.03824367871862412
19207,1550922.771,0.038678408721695055
13308,1542709.7675,0.03911083658625624
18773,1539107.3065,0.03954225466624859
11540,1521013.6809999999,0.03996860102892771
7274,1518323.0245,0.0403941931895728
9769,1517806.9685,0.04081964069760806
6935,1515439.4685,0.04124442458569942
2512,1485258.234,0.04166074855018131
7459,1481952.064,0.04207614578167486
7865,1479443.2715,0.04249083978835823
9645,1479295.284,0.04290549231353941
12102,1472916.76,0.043318356912326085
16804,1470007.23,0.043730405957940484
13482,1454387.9640000002,0.04413807685934093
13509,1451425.6225,0.04454491740428942
11981,1449015.6385,0.04495108242085487
18650,1434331.2685,0.04535313134838315
15469,1434142.987,0.04575512749983605
13288,1428063.8605,0.046155419647239605
16331,1424317.124,0.04655466156906094
7921,1423910.839,0.04695378960753321
9571,1422587.4579999999,0.047352546696892504
14712,1414274.682,0.04774897368110177
6752,1413301.9965,0.04814512801758266
14648,1412783.275,0.048541136954303156
12784,1412287.558,0.04893700693951881
8914,1405443.349,0.049330958464927674
13925,1401262.226,0.04972373800443975
12628,1399781.289,0.05011610243124692
11464,1397058.193,0.05050770356309539
1693,1391451.0045,0.0508977329770483
11874,1387614.8455,0.05128668709992608
13306,1387310.0215,0.05167555577938854
12659,1376094.6445,0.05206128074275577
1711,1375077.616,0.05244672062887016
