order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,193,1,23309.52,0.1
2,1,11,1,16678.22,0.15
3,1,197,1,13191.41,0.15
4,2,112,2,28370.31,0.0
5,3,114,1,26775.06,0.1
6,3,17,1,12553.15,0.1
7,3,76,1,4746.86,0.2
8,4,198,2,9197.8,0.0
9,5,272,2,6811.11,0.15
10,5,139,4,26759.6,0.0
11,5,454,1,73179.95,0.15
12,6,251,1,3802.6,0.15
13,7,51,2,6571.46,0.15
14,7,136,1,12273.98,0.1
15,7,196,1,2548.52,0.05
16,8,363,1,3733.16,0.05
17,8,59,1,2100.24,0.2
18,8,96,1,6949.85,0.1
19,9,320,4,2560.33,0.2
20,9,193,2,23309.52,0.15
21,9,322,3,3605.54,0.1
22,9,294,1,1658.24,0.1
23,10,165,1,19573.94,0.2
24,11,306,1,15771.15,0.1
25,12,341,1,18165.69,0.05
26,12,495,1,6102.26,0.0
27,13,133,1,18181.8,0.0
28,13,119,1,4622.7,0.05
29,13,338,1,4090.54,0.2
30,14,218,1,7214.55,0.15
31,15,272,1,6811.11,0.15
32,15,211,1,84371.49,0.0
33,15,37,1,24772.71,0.2
34,16,272,1,6811.11,0.15
35,16,194,2,10830.06,0.1
36,16,241,1,12129.42,0.0
37,17,256,2,57746.08,0.0
38,17,389,1,11963.88,0.0
39,17,485,1,2219.87,0.15
40,18,427,1,70616.14,0.05
41,18,228,1,4856.61,0.0
42,18,161,1,7216.89,0.05
43,18,213,1,8384.42,0.0
44,19,396,2,27918.45,0.2
45,19,389,1,11963.88,0.05
46,20,387,1,74915.56,0.2
47,20,183,1,29161.08,0.0
48,20,272,3,6811.11,0.2
49,20,434,3,69771.6,0.2
50,21,213,2,8384.42,0.0
51,22,263,1,11438.37,0.1
52,22,237,2,18974.03,0.1
53,23,85,1,12910.24,0.0
54,24,406,1,5945.57,0.1
55,24,266,1,16788.27,0.0
56,25,407,1,28020.68,0.05
57,25,259,2,2503.61,0.2
58,26,141,1,2617.28,0.1
59,26,22,1,17700.68,0.1
60,26,255,1,4445.38,0.0
61,27,280,4,9877.75,0.0
62,27,226,1,6838.71,0.2
63,28,205,2,1407.09,0.15
64,28,119,1,4622.7,0.2
65,29,411,2,18520.4,0.2
66,30,153,1,27218.41,0.0
67,30,336,1,6675.29,0.0
68,31,466,1,10824.51,0.15
69,32,14,1,19464.27,0.15
70,32,397,1,10928.94,0.1
71,32,448,2,15315.33,0.1
72,33,30,1,19415.45,0.05
73,33,400,2,15268.16,0.0
74,33,242,2,68662.89,0.05
75,34,165,1,19573.94,0.15
76,34,34,1,2269.19,0.15
77,35,466,1,10824.51,0.0
78,36,319,3,10700.98,0.2
79,36,110,2,12317.79,0.05
80,37,354,1,749.74,0.05
81,38,347,1,77105.03,0.2
82,38,442,1,14071.99,0.1
83,39,396,1,27918.45,0.0
84,40,197,1,13191.41,0.05
85,41,264,1,3250.66,0.15
86,42,393,2,6667.39,0.0
87,43,261,2,56768.87,0.05
88,44,391,2,5461.63,0.0
89,45,394,1,5439.58,0.15
90,46,473,1,1787.07,0.15
91,46,70,1,18136.21,0.05
92,46,302,2,11402.62,0.2
93,46,157,1,14914.42,0.1
94,46,466,1,10824.51,0.0
95,47,406,1,5945.57,0.2
96,48,173,1,19996.54,0.15
97,48,480,2,5989.16,0.0
98,48,291,1,11751.56,0.05
99,49,320,1,2560.33,0.2
100,50,163,1,2245.65,0.0
101,50,150,1,19320.59,0.1
102,51,483,1,17903.04,0.05
103,52,29,3,3345.49,0.1
104,52,358,1,7275.47,0.0
105,52,66,1,14178.86,0.1
106,53,256,2,57746.08,0.15
107,54,255,2,4445.38,0.2
108,54,397,1,10928.94,0.15
109,55,153,1,27218.41,0.0
110,55,89,1,2408.53,0.15
111,55,349,1,10671.83,0.15
112,55,296,1,4505.03,0.1
113,55,307,1,3540.46,0.15
114,56,224,1,13837.65,0.15
115,56,172,1,25817.09,0.05
116,57,370,2,72922.62,0.2
